
STATUS | wrapper  | 2017/02/07 17:47:15 | --> Wrapper Started as Console
STATUS | wrapper  | 2017/02/07 17:47:15 | Java Service Wrapper Community Edition 64-bit 3.5.30
STATUS | wrapper  | 2017/02/07 17:47:15 |   Copyright (C) 1999-2016 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2017/02/07 17:47:15 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2017/02/07 17:47:15 | 
WARN   | wrapper  | 2017/02/07 17:47:15 | The configured wrapper.java.command could not be found, attempting to launch anyway: java -jar
STATUS | wrapper  | 2017/02/07 17:47:15 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:47:15 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[0] : java -jar
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[4] : -Dwrapper.key=7411vt2yqtt7RGL1
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[8] : -Dwrapper.pid=23298
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[9] : -Dwrapper.version=3.5.30
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[10] : -Dwrapper.native_library=wrapper
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[11] : -Dwrapper.arch=x86
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[12] : -Dwrapper.cpu.timeout=10
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[13] : -Dwrapper.jvmid=1
INFO   | wrapper  | 2017/02/07 17:47:15 |   Command[14] : com.mgarcia.NetworkShield
ERROR  | wrapper  | 2017/02/07 17:47:15 | JVM exited while loading the application.
ERROR  | wrapper  | 2017/02/07 17:47:15 | Unable to start JVM: No such file or directory (2)
ADVICE | wrapper  | 2017/02/07 17:47:15 | 
ADVICE | wrapper  | 2017/02/07 17:47:15 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2017/02/07 17:47:15 | Advice:
ADVICE | wrapper  | 2017/02/07 17:47:15 | Usually when the Wrapper fails to start the JVM process, it is because
ADVICE | wrapper  | 2017/02/07 17:47:15 | of a problem with the value of the configured Java command.  Currently:
ADVICE | wrapper  | 2017/02/07 17:47:15 | wrapper.java.command=java -jar
ADVICE | wrapper  | 2017/02/07 17:47:15 | Please make sure that the PATH or any other referenced environment
ADVICE | wrapper  | 2017/02/07 17:47:15 | variables are correctly defined for the current environment.
ADVICE | wrapper  | 2017/02/07 17:47:15 | ------------------------------------------------------------------------
ADVICE | wrapper  | 2017/02/07 17:47:15 | 
WARN   | wrapper  | 2017/02/07 17:47:19 | The configured wrapper.java.command could not be found, attempting to launch anyway: java -jar
STATUS | wrapper  | 2017/02/07 17:47:19 | Launching a JVM...
INFO   | wrapper  | 2017/02/07 17:47:19 | Java Command Line:
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[0] : java -jar
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[1] : -Djava.library.path=../lib
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[2] : -classpath
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[3] : ../lib/wrapper.jar:../lib/classes
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[4] : -Dwrapper.key=dGnom6AO2p32rLHz
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[5] : -Dwrapper.port=32000
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[6] : -Dwrapper.jvm.port.min=31000
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[7] : -Dwrapper.jvm.port.max=31999
INFO   | wrapper  | 2017/02/07 17:47:19 |   Command[8] : -Dwrapper.pid=23298
